country,state,year,week,date,conf,susp,total,New
Brazil,Espirito Santo,2015,1,2015-01-10,NA,NA,NA,NA
Brazil,Espirito Santo,2015,2,2015-01-17,NA,NA,NA,NA
Brazil,Espirito Santo,2015,3,2015-01-24,NA,NA,NA,NA
Brazil,Espirito Santo,2015,4,2015-01-31,NA,NA,NA,NA
Brazil,Espirito Santo,2015,5,2015-02-07,NA,NA,NA,NA
Brazil,Espirito Santo,2015,6,2015-02-14,NA,NA,NA,NA
Brazil,Espirito Santo,2015,7,2015-02-21,NA,NA,NA,NA
Brazil,Espirito Santo,2015,8,2015-02-28,NA,NA,NA,NA
Brazil,Espirito Santo,2015,9,2015-03-07,NA,NA,NA,NA
Brazil,Espirito Santo,2015,10,2015-03-14,NA,NA,NA,NA
Brazil,Espirito Santo,2015,11,2015-03-21,NA,NA,NA,NA
Brazil,Espirito Santo,2015,12,2015-03-28,NA,NA,NA,NA
Brazil,Espirito Santo,2015,13,2015-04-04,NA,NA,NA,NA
Brazil,Espirito Santo,2015,14,2015-04-11,NA,NA,NA,NA
Brazil,Espirito Santo,2015,15,2015-04-18,NA,NA,NA,NA
Brazil,Espirito Santo,2015,16,2015-04-25,NA,NA,NA,NA
Brazil,Espirito Santo,2015,17,2015-05-02,NA,NA,NA,NA
Brazil,Espirito Santo,2015,18,2015-05-09,NA,NA,NA,NA
Brazil,Espirito Santo,2015,19,2015-05-16,NA,NA,NA,NA
Brazil,Espirito Santo,2015,20,2015-05-23,NA,NA,NA,NA
Brazil,Espirito Santo,2015,21,2015-05-30,NA,NA,NA,NA
Brazil,Espirito Santo,2015,22,2015-06-06,NA,NA,NA,NA
Brazil,Espirito Santo,2015,23,2015-06-13,NA,NA,NA,NA
Brazil,Espirito Santo,2015,24,2015-06-20,NA,NA,NA,NA
Brazil,Espirito Santo,2015,25,2015-06-27,NA,NA,NA,NA
Brazil,Espirito Santo,2015,26,2015-07-04,NA,NA,NA,NA
Brazil,Espirito Santo,2015,27,2015-07-11,NA,NA,NA,NA
Brazil,Espirito Santo,2015,28,2015-07-18,NA,NA,NA,NA
Brazil,Espirito Santo,2015,29,2015-07-25,NA,NA,NA,NA
Brazil,Espirito Santo,2015,30,2015-08-01,NA,NA,NA,NA
Brazil,Espirito Santo,2015,31,2015-08-08,NA,NA,NA,NA
Brazil,Espirito Santo,2015,32,2015-08-15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,33,2015-08-22,NA,NA,NA,NA
Brazil,Espirito Santo,2015,34,2015-08-29,NA,NA,NA,NA
Brazil,Espirito Santo,2015,35,2015-09-05,NA,NA,NA,NA
