country,state,year,week,date,conf,susp,total,New
Brazil,Espirito Santo,2015,1,10/01/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,2,17/01/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,3,24/01/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,4,31/01/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,5,07/02/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,6,14/02/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,7,21/02/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,8,28/02/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,9,07/03/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,10,14/03/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,11,21/03/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,12,28/03/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,13,04/04/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,14,11/04/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,15,18/04/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,16,25/04/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,17,02/05/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,18,09/05/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,19,16/05/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,20,23/05/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,21,30/05/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,22,06/06/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,23,13/06/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,24,20/06/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,25,27/06/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,26,04/07/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,27,11/07/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,28,18/07/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,29,25/07/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,30,01/08/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,31,08/08/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,32,15/08/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,33,22/08/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,34,29/08/15,NA,NA,NA,NA
Brazil,Espirito Santo,2015,35,05/09/15,NA,NA,NA,NA
